title,Country.Name,year,status,type,target
Corporate income tax exemptions in Ukraine available for renewable energy sector,Ukraine,2011,In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,"Multiple RE Sources, Multiple RE Sources>All"
KfW Programme Offshore Wind Energy,Germany,2011,In Force,"Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Grants and subsidies",Wind>Offshore
Order of the President of Republic of Azerbaijan on preparation of National Strategy on the use of alternative and RES for 2010-2020,Azerbaijan,2011,In Force,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources, Multiple RE Sources>All"
National Energy Saving Programme 2011-2015,Belarus,2011,In Force,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources, Multiple RE Sources>All, Bioenergy, Geothermal, Hydropower, Solar Thermal, Wind, Solar"
Renewable Energy Law 2010,Turkey,2011,In Force,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Wind, Bioenergy, Bioenergy>Biomass for power, Geothermal, Geothermal>Power, Hydropower, Solar"
Energy White Paper 2011,United Kingdom,2011,Superseded,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support>Institutional creation, Policy Support>Strategic planning, Policy Support",Multiple RE Sources>All
The Decree on connection and access of renewable electricity to the national grid,Tunisia,2011,In Force,"Policy Support, Regulatory Instruments>Codes and standards","Multiple RE Sources, Bioenergy, Wind, Solar"
Sustainable Economy Law,Spain,2011,In Force,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Tax relief, Policy Support",Multiple RE Sources>All
National Energy Plan Framework,Belize,2011,In Force,Regulatory Instruments,Multiple RE Sources
The Twelfth Five-Year Plan for National Economic and Social Development of The Peoples Republic of China,China,2011,In Force,Policy Support>Strategic planning,Multiple RE Sources
Madhya Pradesh Biomass-Based Electricity (Power) Project Implementation Policy 2011,India,2011,In Force,"Economic Instruments>Fiscal/financial incentives>Tax relief, Policy Support>Strategic planning",Bioenergy>Biomass for power
Support for biomass supply chain,Italy,2011,Ended,Economic Instruments>Fiscal/financial incentives>Loans,Bioenergy
The National Energy Security Strategy and Policy,Angola,2011,In Force,"Policy Support, Policy Support>Strategic planning","Solar, Solar>Solar photovoltaic"
Offshore wind tendering mechanism,France,2011,In Force,Policy Support>Strategic planning,"Wind>Offshore, Wind"
Purchase of Electricity from Geothermal Plants (Regulation No. 02/2011),Indonesia,2011,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Geothermal
Madhya Pradesh Biomass-Based Electricity (Power) Project Implementation Policy 2011,India,2011,In Force,"Economic Instruments>Fiscal/financial incentives>Tax relief, Policy Support>Strategic planning",Bioenergy>Biomass for power
National Energy Strategy 2030,Hungary,2011,In Force,"Policy Support, Research, Development and Deployment (RD&D), Economic Instruments",Multiple RE Sources
Biomethane injection into the natural gas grid,France,2011,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Bioenergy
National Renewable Energy Action Plan (NREAP),Hungary,2011,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Regulation of small power plants connexion to the electricity grid (Royal Decree 1699/2011),Spain,2011,In Force,Regulatory Instruments,Multiple RE Sources
Regulation on load management activity within the electricity system involving energy charging services (Royal Decree 647/2011),Spain,2011,In Force,"Regulatory Instruments, Regulatory Instruments>Monitoring","Multiple RE Sources>Power, Multiple RE Sources"
Regulatory framework for renewables,Montenegro,"2010, 2011",In Force,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Regulatory Instruments>Other mandatory requirements","Multiple RE Sources, Multiple RE Sources>All"
Morocco Renewable Power Tenders (MASEN),Morocco,2010 (last updated 2016),In Force,"Economic Instruments>Market-based instruments, Regulatory Instruments","Solar, Wind"
Feed-in Tariffs for renewable electricity for PV and non-PV technologies,United Kingdom,2010 (last updated 2015),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind>Onshore, Bioenergy, Hydropower, Multiple RE Sources>CHP, Solar>Solar photovoltaic"
Compensation mechanism for renewable electricity,Luxembourg,2010 (last amended 2014),In Force,"Economic Instruments>Fiscal/financial incentives>User charges, Economic Instruments>Fiscal/financial incentives>Taxes","Multiple RE Sources>Power, Multiple RE Sources"
Small Scale Distributed Generation (SSDG) (Feed-in tariff/Net metering scheme),Mauritius,2010 (last amended 2012),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind, Hydropower, Solar>Solar photovoltaic, Solar, Multiple RE Sources>Power"
New tariff regulation for the production of photovoltaic electrical energy (Royal Decree 1565/2010),Spain,2010 (adjusted 2011),Ended,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Wind, Multiple RE Sources, Solar>Solar photovoltaic"
The Action Plan of the Government of Republic of Armenia Aimed at the Implementation of the National Program on Energy Saving and Renewable Energy of Republic of Armenia,Armenia,2010 (November 4th),In Force,"Policy Support, Policy Support>Strategic planning",Multiple RE Sources
Rules of Issuing Special Permission to Activity Concerning Alternative and Renewable Energy Source,Azerbaijan,2010 (May),In Force,"Regulatory Instruments>Codes and standards, Regulatory Instruments","Multiple RE Sources, Multiple RE Sources>All"
Resolution on met-metering,Mexico,2010 (May),In Force,Regulatory Instruments>Codes and standards,Multiple RE Sources>Power
National Climate Change Strategy 2010-2020,Turkey,2010 (May 3rd),In Force,Policy Support>Strategic planning,Multiple RE Sources
"GIS: Extended use of renewable energy sources for the generation of energy and reconstruction of district heating networks I, II",Estonia,2010 (March 4th),In Force,Economic Instruments>Direct investment>Funds to sub-national governments,Bioenergy>Biomass for power
Programme for Rational and Efficient Use of Energy and Other Forms of Non-Conventional Energy (Resolution 180919),Colombia,2010 (June 1st),In Force,Policy Support>Strategic planning,Multiple RE Sources>All
Energy Strategy of Costa Rica: Towards a New Energy Model (Estrategia Energetica: Hacia un nuevo modelo energetico para nuestro pais),Costa Rica,2010 (July 7th),In Force,"Policy Support, Policy Support>Strategic planning",Multiple RE Sources
Decree on renewable microgeneration (net-metering),Uruguay,2010 (July 1st),In Force,"Policy Support, Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Multiple RE Sources, Wind, Solar, Solar Thermal, Bioenergy, Hydropower"
GIS: Supporting investments of the enterprises for the application of wind energy in electricity generation,Estonia,2010 (January 1st),Ended,Economic Instruments>Direct investment>Infrastructure investments,"Wind, Wind>Onshore, Wind>Offshore"
National Renewable Energy Action Plan (NREAP),Estonia,2010 (January 1st),In Force,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
National Energy Policy 2010-2024,El Salvador,2010 (Jan 12th),In Force,Policy Support>Strategic planning,"Multiple RE Sources>Power, Bioenergy>Biofuels for transport"
Renewable Energy Law,Senegal,2010 (December),In Force,"Regulatory Instruments, Regulatory Instruments>Codes and standards>Sectoral standards, Policy Support","Multiple RE Sources, Multiple RE Sources>Power, Multiple RE Sources>All"
Resolution on Interconnection of large hydroplants,Mexico,2010 (April),In Force,Regulatory Instruments>Codes and standards,Hydropower
Regulations Regarding the Production of Electricity Using Renewable Energy Resources and the Procedures for the Determination of the Price (2010),Latvia,2010 (April 1st),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Multiple RE Sources, Multiple RE Sources>Power"
Strategic Plan 2010,Turkey,2010,Superseded,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Information and Education>Advice/Aid in Implementation, Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Multiple RE Sources>All, Multiple RE Sources"
National Agency for the Development of Renewable Energy and Energy Efficiency 16.09,Morocco,2010,In Force,Policy Support>Institutional creation,Multiple RE Sources
Tax incentives for renewable energy,Zimbabwe,2010,In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,"Multiple RE Sources, Multiple RE Sources>All"
Feed-in tariffs included in the 3851 RE Law,Greece,2010,In Force,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Multiple RE Sources
"Framework Act on Low Carbon, Green Growth",Korea,2010,In Force,Policy Support>Strategic planning,Multiple RE Sources
National Renewable Action Plan (NREAP),Ireland,2010,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
National Renewable Energy Action Plan (NREAP),Greece,2010,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
National Renewable Energy Action Plan (NREAP),Latvia,2010,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Renewable Energy Law 3851,Greece,2010,In Force,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support>Institutional creation","Multiple RE Sources>All, Multiple RE Sources"
Ghana National Energy Policy,Ghana,2010,In Force,"Policy Support>Strategic planning, Policy Support","Solar, Hydropower, Geothermal, Multiple RE Sources>Power, Bioenergy>Biofuels for transport"
Renewable Energy Policy and Action Plan,Malaysia,2010,In Force,"Research, Development and Deployment (RD&D), Policy Support>Institutional creation, Policy Support>Strategic planning",Multiple RE Sources>All
National Renewable Action Plan (NREAP),Lithuania,2010,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All"
Renewable Energy Target,Australia,2010,In Force,Regulatory Instruments,Multiple RE Sources>Power
New South Wales Solar Bonus Scheme,Australia,2010,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind>Onshore, Solar>Solar photovoltaic"
Residential Net Feed-in Tariff for Western Australia,Australia,2010,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind>Onshore, Hydropower, Solar>Solar photovoltaic"
National Renewable Action Plan (NREAP),Luxembourg,2010,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
"Feed-in Tariffs for electricity from wind, biogas and wood chip",Finland,2010,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind, Bioenergy>Biomass for power"
National Renewable Energy Action Plan (NREAP),Finland,2010,In Force,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources, Multiple RE Sources>CHP, Multiple RE Sources>Power"
National Renewable Energy Action Plan (NREAP),United Kingdom,2010,In Force,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power, Multiple RE Sources>Renewable heat pumps"
National Renewable Action Plan (NREAP),Malta,2010,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power, Multiple RE Sources>CHP"
2010 Electricity rules (Feed-in tariff),United Republic of Tanzania,2010,In Force,"Policy Support, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>Heating"
"Strengthen the management capacity of the energy sector (Policy no. 6, Maldives National Energy Policy and Strategy 2010)",Maldives,2010,In Force,"Policy Support>Institutional creation, Policy Support>Strategic planning",Multiple RE Sources>All
National Strategy for Growth and Reduction of Poverty II (NSGRP),United Republic of Tanzania,2010,In Force,"Policy Support, Policy Support>Strategic planning","Multiple RE Sources, Multiple RE Sources>All"
National Operational Programme for Competitiveness II,Greece,2010,In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Research programme","Wind>Onshore, Geothermal>Heat, Geothermal>Power, Hydropower, Solar Thermal, Solar Thermal>Solar heat, Solar Thermal>Solar thermal electricity (STE), Wind>Offshore"
National Energy Action Plan (NREAP),Germany,2010,In Force,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
National Integrated Project for Solar Electricity Production and National Agency for Solar Energy (MASEN),Morocco,2010,In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Policy Support>Institutional creation, Policy Support, Economic Instruments>Direct investment>Infrastructure investments",Solar
Green innovation funding: the French programme of Investments for the future,France,2010,In Force,"Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Research programme >Technology development",Multiple RE Sources
Income tax reduction for energy development projects (MoF Regulation No. 21/2010),Indonesia,2010,In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,Multiple RE Sources
Smart from the Start Initiative,United States,2010,In Force,Regulatory Instruments>Codes and standards,Wind>Offshore
Energy Concept,Germany,2010,In Force,"Regulatory Instruments, Policy Support>Strategic planning, Policy Support",Multiple RE Sources
"Promote renewable energy technologies (Policy no. 5, Maldives National Energy Policy and Strategy 2010)",Maldives,2010,In Force,"Economic Instruments>Fiscal/financial incentives>Tax relief, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Research programme >Technology development, Research, Development and Deployment (RD&D)>Research programme , Information and Education>Advice/Aid in Implementation, Information and Education>Information provision",Multiple RE Sources>All
National Renewable Energy Action Plan (NREAP),France,2010,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>CHP, Multiple RE Sources>Heating, Multiple RE Sources>Power"
"Adopt an appropriate pricing policy for the energy sector (Policy no. 7, Maldives National Energy Policy and Strategy 2010)",Maldives,2010,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Multiple RE Sources>All
"Increase national energy security (Policy no. 4, Maldives National Energy Policy and Strategy 2010)",Maldives,2010,In Force,Economic Instruments>Direct investment>Infrastructure investments,Multiple RE Sources>All
Green Technology Financing Scheme (GTFS),Malaysia,2010,In Force,Economic Instruments>Fiscal/financial incentives>Loans,Multiple RE Sources>All
National Renewable Action Plan (NREAP),Austria,2010,In Force,Policy Support>Strategic planning,"Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Interim Feed-in Tariff for Four Ningxia Solar Projects,China,2010,Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Solar>Solar photovoltaic
New regulation on electrical energy from wind and thermal electric technologies (Royal Decree 1614/2010),Spain,2010,Ended,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Wind
National Renewable Energy Action Plan 2011-2020,Spain,2010,In Force,"Policy Support>Strategic planning, Policy Support",Multiple RE Sources
2010-2019 Plan for Energy Expansion,Brazil,2010,In Force,"Economic Instruments>Direct investment>Infrastructure investments, Policy Support, Policy Support>Strategic planning",Multiple RE Sources
Microgeneration Law (Application Decree Law 118-A/2010),Portugal,2010,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Multiple RE Sources>Power
Building Integrate Solar PV Programme,China,2010,In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Solar>Solar photovoltaic
Import duty removal on wind and hydro technological equipments,China,2010,Ended,Economic Instruments>Fiscal/financial incentives>Tax relief,"Wind, Hydropower"
Correction of the tariff deficit in the electricity sector (Royal Decree-Law 14/2010),Spain,2010,Ended,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Solar>Solar photovoltaic, Multiple RE Sources"
National Renewable Energy Action Plan (NREAP),Belgium,2010,In Force,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Power"
Global Methane Initiative,Japan,2010,In Force,"Policy Support>Institutional creation, Voluntary Approaches>Negotiated Agreements (Public-private sector)",Bioenergy
Renewable Energy & Energy Efficiency (Law No. 13),Jordan,2010,In Force,"Policy Support>Strategic planning, Policy Support>Institutional creation, Research, Development and Deployment (RD&D)>Research programme , Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Tax relief",Multiple RE Sources>All
Tajikistan Law on Use of Renewable Energy Sources (Law No 587) (Renewable Energy Law of Tajikistan),Tajikistan,2010,Ended,Regulatory Instruments,Multiple RE Sources>All
"Building Renovation Program (Das Gebäudeprogramm, Le Programme Bâtiments)",Switzerland,2010,Superseded,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Direct investment>Funds to sub-national governments","Multiple RE Sources>CHP, Multiple RE Sources"
Decree 354 on the Promotion of Renewable Energies,Uruguay,2010,In Force,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Wind, Bioenergy>Biofuels for transport, Bioenergy>Biomass for power, Solar"
National Strategy for renewable energy and energy efficiency,Yemen,2010,In Force,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources, Wind, Solar Thermal, Solar>Solar photovoltaic, Solar"
2010 Biomass electricity Feed-in tariff,China,2010,In Force,"Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Bioenergy>Biomass for power
National Energy Strategy 2020 (ENE 2020),Portugal,2010,Superseded,Policy Support>Strategic planning,Multiple RE Sources
Tax exemptions for renewable energy equipment,Seychelles,2010,In Force,Economic Instruments>Fiscal/financial incentives>Taxes,Multiple RE Sources
British Columbia Clean Energy Act: Clean or Renewable Electricity Requirement,Canada,2010,In Force,"Policy Support, Regulatory Instruments>Other mandatory requirements",Multiple RE Sources
Grid-connected Rooftop Photovoltaic Systems project 2010-2014,Seychelles,2010,In Force,Economic Instruments>Direct investment>Infrastructure investments,Solar>Solar photovoltaic
National Renewable Action Plan (NREAP),Slovenia,2010,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>CHP, Multiple RE Sources>Power"
National Renewable Energy Action Plan (NREAP),Slovakia,2010,In Force,"Regulatory Instruments, Policy Support>Institutional creation, Policy Support>Strategic planning","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Act No. 137/2010: Coll on Air Protection,Slovakia,2010,In Force,"Economic Instruments, Regulatory Instruments",Multiple RE Sources
National Solar Mission (Phase I and II),India,2010,In Force,"Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Research programme","Solar Thermal, Solar>Solar photovoltaic"
National Renewable Energy Action Plan (NREAP),Italy,2010,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
National Renewable Energy action Plan (NREAP),Portugal,2010,Superseded,Policy Support>Strategic planning,Multiple RE Sources
Implementation of the CHP Directive,Portugal,2010,In Force,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>Grants and subsidies",Multiple RE Sources>CHP
National Renewable Energy Action Plan (NREAP),Romania,2010,In Force,Policy Support>Strategic planning,Multiple RE Sources
Federal Program For Energy Savings and Energy Efficiency for the Period until 2020,Russia,2010,In Force,"Economic Instruments>Fiscal/financial incentives, Policy Support","Multiple RE Sources, Multiple RE Sources>All"
Energy Action Plan,Saint Vincent and the Grenadines,2010,In Force,"Policy Support>Strategic planning, Policy Support","Multiple RE Sources>All, Multiple RE Sources"
National Renewable Energy Action Plan (NREAP),Bulgaria,2010,In Force,"Policy Support, Policy Support>Strategic planning, Economic Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power, Bioenergy>Biofuels for transport"
National Renewable Energy Action Plan (NREAP) of Poland,Poland,2010,In Force,"Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
National Renewable Energy Action Plan (NREAP),Sweden,2010,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power"
Tax exemptions for the import of renewable energy and energy efficiency equipment materials (Decree 2010/1521),Tunisia,2010,In Force,"Policy Support>Strategic planning, Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Tax relief","Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Renewable heat pumps , Wind"
Emissions Trading Scheme,New Zealand,2010,In Force,Economic Instruments>Market-based instruments>GHG emissions trading,Multiple RE Sources
Act on Offshore Renewable Energy Production,Norway,2010,In Force,"Regulatory Instruments>Monitoring, Policy Support>Institutional creation, Policy Support>Strategic planning, Economic Instruments>Direct investment>Infrastructure investments, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development","Wind>Offshore, Ocean, Ocean>Other, Ocean>Tidal, Ocean>Wave"
Austrian Energy Strategy,Austria,2010,In Force,"Policy Support, Policy Support>Strategic planning",Multiple RE Sources
National Renewable Action Plan (NREAP),Czech Republic,2010,In Force,"Policy Support, Policy Support>Strategic planning","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Energy Strategy of Austria,Austria,2010,In Force,"Policy Support, Policy Support>Strategic planning",Multiple RE Sources
National Renewable Energy Action Plan (NREAP),Denmark,2010,In Force,"Policy Support, Policy Support>Strategic planning","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
International Energy Programme,Netherlands,2010,In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Information and Education>Information provision, Research, Development and Deployment (RD&D)>Research programme >Technology development",Multiple RE Sources
Incentives for Co-generation and Self-generation,Venezuela,2010,Ended,Economic Instruments>Fiscal/financial incentives>Tax relief,Bioenergy
National Renewable Energy Action Plan (NREAP),Netherlands,2010,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Ökostromverordnung (feed-in tariffs) 2010 - ÖSVO 2010,Austria,2010,Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Multiple RE Sources, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Geothermal>Power, Multiple RE Sources>CHP, Multiple RE Sources>Power, Wind, Wind>Onshore, Solar>Solar photovoltaic"
Renewable Energy Generation Program (GENREN),Argentina,2010,In Force,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Institutional creation, Policy Support, Policy Support>Strategic planning, Regulatory Instruments>Other mandatory requirements","Wind>Onshore, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Geothermal>Power, Hydropower, Solar"
Revised Feed-in-Tariffs for Renewable Energy,Kenya,2010,Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind>Onshore, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat, Geothermal>Heat, Geothermal>Power, Hydropower, Solar>Solar photovoltaic"
"Funding for energy efficiency, renewable energy and bike-sharing",Italy,2010,Ended,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion",Multiple RE Sources
National Renewable Energy Action Plan (NREAP),Cyprus,2010,In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Feed-in Tariff Rules,Philippines,2010,In Force,"Policy Support, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Multiple RE Sources
Environmental Bonus for Wind Power,Sweden,2009\n,Ended,Economic Instruments>Fiscal/financial incentives>Tax relief,"Wind>Onshore, Wind, Wind>Offshore"
RE Tariff regulations,India,2009 (revised Nov 2010),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind, Bioenergy>Biomass for power, Bioenergy>Co-firing with fossil fuels, Multiple RE Sources>Power, Solar>Solar photovoltaic, Solar Thermal"
Golden Sun Programme,China,2009 (revised 2011),Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Solar>Solar photovoltaic
Renewable Energy Feed-in Tariff (REFIT),South Africa,2009 (modified 2011),Ended,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind, Bioenergy>Biomass for power, Bioenergy, Hydropower, Solar, Solar Thermal"
Renewable Energy Feed-in tariffs,Chinese Taipei,2009 (last updated 2016),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind>Onshore, Bioenergy>Biofuels for transport, Geothermal, Hydropower, Ocean, Solar, Solar Thermal, Solar>Solar photovoltaic, Wind>Offshore"
Maurice Ile Durable (MID),Mauritius,2009 (last updated 2013),In Force,Policy Support>Strategic planning,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power"
Law on Financial Instruments for Climate Change Management,Lithuania,2009 (last amended 9 May 2013),In Force,"Economic Instruments>Fiscal/financial incentives, Policy Support, Policy Support>Institutional creation, Economic Instruments>Market-based instruments>GHG emissions trading, Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Information and Education>Information provision","Multiple RE Sources, Multiple RE Sources>All"
Scheme for Financing Renewable Projects - soft loans,Pakistan,2009 (last amended 2016),In Force,Economic Instruments>Fiscal/financial incentives>Loans,Multiple RE Sources>All
Green Tariff (Feed-in Tariff),Ukraine,2009 (last amended 2015),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Solar, Solar>Solar photovoltaic, Wind, Hydropower, Bioenergy>Biomass for power"
